chr1	1917201	1918898	blue
chr1	3959798	3960178	blue
chr1	4441122	4441973	blue
chr1	2246342	2247508	blue
chr1	2705217	2705816	blue
chr1	3270472	3271347	blue
chr1	2333446	2333670	blue
chr1	4902774	4904039	blue
chr1	2230272	2230898	blue
chr1	3525903	3526103	blue
chr1	2412518	2412712	blue
chr1	4996616	4998187	blue
chr1	2122189	2122926	blue
chr1	3182336	3183127	blue
chr1	1867	3465	blue
chr1	1874648	1875316	blue
chr1	2720139	2720576	blue
chr1	1183716	1184342	blue
chr1	4267514	4268158	blue
chr1	3188819	3189097	blue
chr1	3504595	3505560	blue
chr1	3758362	3759906	blue
chr1	3008536	3009018	blue
chr1	4260060	4261064	blue
chr1	4942471	4943502	blue
chr1	3742699	3742911	blue
chr1	3766030	3766335	blue
chr1	4132581	4132937	blue
chr1	3901782	3902060	blue
chr1	264246	264911 	blue
chr1	3319703	3321220	blue
chr1	1440159	1440515	blue
chr1	5353196	5353315	blue
chr1	2056137	2057453	blue
chr1	2734347	2734883	blue
chr1	3603890	3605098	blue
chr1	3651857	3652876	blue
chr1	4893671	4893796	blue
chr1	2494639	2495532	blue
chr1	3317866	3318134	blue
chr1	1963972	1964880	blue
chr1	226100	227407	blue
chr1	5101854	5102267	blue
chr1	2468153	2468749	blue
chr1	4699542	4700342	blue
chr1	2729376	2730560	blue
chr1	3470079	3471245	blue
chr1	2917168	2918001	blue
chr1	1654887	1655888	blue
chr1	1519412	1519567	blue
chr1	3358226	3359194	blue
chr1	4253365	4254300	blue
chr1	3542503	3543267	blue
chr1	3882785	3883201	blue
chr1	1777110	1777250	blue
chr1	2472227	2472847	blue
chr1	4541522	4541764	blue
chr1	4784221	4785108	blue
chr1	5141586	5141705	blue
chr1	5418140	5418256	blue
chr1	4109531	4110277	blue
chr1	5415412	5415651	blue
chr1	3541824	3542525	blue
chr1	1037515	1038603	blue
chr1	138676	140115 	blue
chr1	4831160	4832029	blue
chr1	3418405	3418743	blue
chr1	3959067	3959798	blue
chr1	1767622	1768452	blue
chr1	3155240	3156430	blue
chr1	5044063	5045547	blue
chr1	198070	198720	blue
chr1	4792890	4793705	blue
chr1	332070	332810	blue
chr1	3694691	3695587	blue
chr1	4611615	4612400	blue
chr1	199045	200145	blue
chr1	4224730	4225914	blue
chr1	1768993	1769538	blue
chr1	501170		501616	blue
chr1	2773615	2774274	blue
chr1	2075067	2075528	blue
chr1	528914	530572	blue
chr1	3119205	3120371	blue
chr1	2529824	2530774	blue
chr1	1306663	1308030	blue
chr1	2075621	2075911	blue
chr1	2875464	2876249	blue
chr1	5097186	5098145	blue
chr1	283089	284480	blue
chr1	1191175	1191324	blue
chr1	1987300	1988343	blue
chr1	1055831	1056610	blue
chr1	4477296	4478348	blue
chr1	1463772	1464131	blue
chr1	1373239	1373925	blue
chr1	618752	620923	blue
chr1	4937709	4938734	blue
chr1	4637942	4639504	blue
chr1	1237502	1237633	blue
chr1	3109485	3110489	blue
chr1	4982782	4983126	blue
chr1	1174867	1175601	blue
chr1	3866433	3867047	blue
chr1	1329264	1332011	blue
chr1	2458701	2459039	blue
chr1	5316301	5316759	blue
chr1	1989366	1990561	blue
chr1	3584632	3586959	blue
chr1	435909	436028	blue
chr1	3719097	3720113	blue
chr1	5363249	5363425	blue
chr1	2727850	2729058	blue
chr1	4795411	4795647	blue
chr1	3711098	3712042	blue
chr1	2718652	2720139	blue
chr1	1937701	1937946	blue
chr1	2502032	2505478	blue
chr1	3398369	3398839	blue
chr1	3501329	3502072	blue
chr1	2348691	2350112	blue
chr1	1779747	1780229	blue
chr1	3275339	3276436	blue
chr1	1575954	1576985	blue
chr1	324931	326541	blue
chr1	2715467	2715583	blue
chr1	1309790	1311429	blue
chr1	4728592	4729029	blue
chr1	4860192	4861478	blue
chr1	3617752	3618372	blue
chr1	5393509	5393781	blue
chr1	1040067	1040192	blue
chr1	3822225	3822839	blue
chr1	4787457	4788488	blue
chr1	4650938	4651303	blue
